"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"02.01.2018 09:45 - 02.01.2018 10:00","1435","690","","1513","6431","1656","14802","6713","6156"
"02.01.2018 10:00 - 02.01.2018 10:15","1770","845","","1503","6407","1617","14837","6792","6203"
"02.01.2018 10:15 - 02.01.2018 10:30","2095","1000","","1527","6503","1707","14947","6828","6279"
"02.01.2018 10:30 - 02.01.2018 10:45","2418","1151","","1558","6583","1771","15059","6871","6293"
"02.01.2018 10:45 - 02.01.2018 11:00","2701","1280","","1585","6613","1792","15191","6916","6294"
"02.01.2018 11:00 - 02.01.2018 11:15","2951","1399","","1636","6650","1806","15356","6987","6283"
"02.01.2018 11:15 - 02.01.2018 11:30","3167","1499","","1706","6804","1905","15532","7087","6236"
"02.01.2018 11:30 - 02.01.2018 11:45","3350","1574","","1778","6898","1944","15734","7193","6274"
"02.01.2018 11:45 - 02.01.2018 12:00","3512","1653","","1860","6981","1973","15992","7294","6392"
"02.01.2018 12:00 - 02.01.2018 12:15","3625","1711","","1932","7139","2093","16226","7350","6444"
"02.01.2018 12:15 - 02.01.2018 12:30","3663","1732","","2000","7247","2204","16412","7377","6630"
"02.01.2018 12:30 - 02.01.2018 12:45","3656","1728","","2068","7439","2389","16592","7404","6741"
"02.01.2018 12:45 - 02.01.2018 13:00","3635","1717","","2135","7531","2470","16718","7433","6737"
"02.01.2018 13:00 - 02.01.2018 13:15","3570","1693","","2203","7561","2505","16797","7412","6950"
"02.01.2018 13:15 - 02.01.2018 13:30","3428","1639","","2253","7654","2629","16689","7335","6819"
"02.01.2018 13:30 - 02.01.2018 13:45","3230","1561","","2305","7629","2641","16561","7260","6788"
"02.01.2018 13:45 - 02.01.2018 14:00","2999","1470","","2352","7567","2611","16445","7181","6594"
"02.01.2018 14:00 - 02.01.2018 14:15","2747","1372","","2395","7495","2570","16316","7066","6331"
